Order ID,Order Date,Ship Date,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100000,01-02-2024,07-02-2024,Customer 13,Home Office,Phoenix,CA,West,Office Supplies,Binders,Binders Model 210,771.43,9,0.2,35.01
ORD-100001,11-05-2023,12-05-2023,Customer 347,Home Office,Los Angeles,AZ,South,Technology,Phones,Phones Model 221,20.24,4,0.2,0.86
ORD-100002,18-07-2024,19-07-2024,Customer 48,Consumer,Houston,AZ,East,Technology,Phones,Phones Model 108,183.43,2,0.1,33.55
ORD-100003,05-02-2024,08-02-2024,Customer 367,Home Office,San Diego,CA,South,Office Supplies,Paper,Paper Model 711,904.49,3,0.15,75.7
ORD-100004,01-01-2024,07-01-2024,Customer 415,Consumer,Chicago,TX,Central,Office Supplies,Storage,Storage Model 922,820.46,3,0,229.78
ORD-100005,11-11-2023,15-11-2023,Customer 111,Corporate,Los Angeles,NY,South,Furniture,Tables,Tables Model 854,503.47,4,0,88.33
ORD-100006,02-05-2021,03-05-2021,Customer 434,Corporate,Phoenix,NY,South,Technology,Machines,Machines Model 464,673.37,4,0.15,72.84
ORD-100007,12-04-2022,15-04-2022,Customer 499,Corporate,Los Angeles,AZ,Central,Office Supplies,Binders,Binders Model 328,456.82,2,0.3,-22.14
ORD-100008,23-05-2024,25-05-2024,Customer 296,Consumer,Los Angeles,NY,West,Office Supplies,Storage,Storage Model 110,865.7,9,0.15,91.29
ORD-100009,27-11-2021,03-12-2021,Customer 438,Consumer,Los Angeles,TX,Central,Furniture,Chairs,Chairs Model 454,653.13,2,0.3,-24.39
ORD-100010,29-03-2021,01-04-2021,Customer 84,Corporate,Dallas,CA,Central,Furniture,Bookcases,Bookcases Model 380,734.93,1,0.3,-30.25
ORD-100011,28-10-2024,31-10-2024,Customer 312,Home Office,Chicago,AZ,West,Office Supplies,Binders,Binders Model 246,458.62,5,0.2,20.22
ORD-100012,29-01-2024,01-02-2024,Customer 195,Corporate,Houston,IL,East,Technology,Copiers,Copiers Model 388,494.12,6,0.3,-19.07
ORD-100013,22-05-2023,23-05-2023,Customer 413,Corporate,San Diego,IL,East,Technology,Phones,Phones Model 499,466.02,1,0.05,116.18
ORD-100014,11-05-2021,12-05-2021,Customer 109,Home Office,San Jose,TX,South,Technology,Machines,Machines Model 997,34.87,8,0.1,4.88
ORD-100015,25-08-2024,27-08-2024,Customer 72,Consumer,Phoenix,AZ,South,Technology,Machines,Machines Model 634,171.75,3,0,30.4
ORD-100016,09-02-2023,14-02-2023,Customer 186,Consumer,Chicago,AZ,South,Office Supplies,Appliances,Appliances Model 423,630.71,5,0.05,149.27
ORD-100017,10-12-2021,15-12-2021,Customer 441,Consumer,Chicago,CA,South,Technology,Phones,Phones Model 202,582.5,1,0,151.84
ORD-100018,17-03-2023,22-03-2023,Customer 198,Corporate,San Jose,AZ,Central,Office Supplies,Binders,Binders Model 479,348.9,4,0.2,17.28
ORD-100019,21-01-2022,27-01-2022,Customer 349,Home Office,Los Angeles,AZ,Central,Office Supplies,Binders,Binders Model 114,52.29,8,0.1,8.4
ORD-100020,30-04-2024,06-05-2024,Customer 58,Corporate,San Diego,CA,South,Office Supplies,Storage,Storage Model 676,57.22,9,0.15,6.6
ORD-100021,14-08-2023,16-08-2023,Customer 498,Home Office,Chicago,AZ,East,Technology,Machines,Machines Model 530,144.56,5,0.3,-8.7
ORD-100022,04-10-2021,10-10-2021,Customer 431,Home Office,Houston,CA,Central,Office Supplies,Storage,Storage Model 152,251.9,1,0.3,-8.89
ORD-100023,30-03-2024,04-04-2024,Customer 307,Corporate,San Jose,NY,East,Technology,Phones,Phones Model 434,998.27,7,0.05,162.66
ORD-100024,05-04-2022,10-04-2022,Customer 123,Consumer,Houston,AZ,East,Furniture,Bookcases,Bookcases Model 352,85.65,9,0.05,17.42
ORD-100025,30-08-2024,02-09-2024,Customer 418,Consumer,Chicago,CA,South,Technology,Copiers,Copiers Model 562,427.6,5,0.1,60.6
ORD-100026,22-01-2021,28-01-2021,Customer 136,Home Office,San Diego,CA,West,Office Supplies,Paper,Paper Model 492,175.28,5,0.15,20.73
ORD-100027,10-09-2021,11-09-2021,Customer 205,Home Office,Dallas,TX,South,Office Supplies,Storage,Storage Model 911,30.58,7,0.2,1.18
ORD-100028,18-01-2023,19-01-2023,Customer 116,Consumer,Dallas,NY,West,Technology,Accessories,Accessories Model 772,788.59,3,0.05,118.2
ORD-100029,07-05-2023,10-05-2023,Customer 4,Consumer,New York,CA,East,Office Supplies,Paper,Paper Model 974,89.05,1,0,19.92
ORD-100030,20-04-2022,23-04-2022,Customer 37,Home Office,Houston,IL,South,Technology,Machines,Machines Model 129,757.29,2,0.05,156.38
ORD-100031,19-12-2023,22-12-2023,Customer 371,Home Office,San Jose,CA,South,Technology,Accessories,Accessories Model 464,178.94,6,0.05,44.76
ORD-100032,26-05-2022,27-05-2022,Customer 49,Consumer,San Diego,IL,South,Furniture,Tables,Tables Model 230,633.73,7,0,122.91
ORD-100033,01-12-2022,06-12-2022,Customer 443,Home Office,New York,NY,East,Furniture,Furnishings,Furnishings Model 988,663.08,5,0.15,48.26
ORD-100034,03-09-2023,06-09-2023,Customer 410,Consumer,Houston,CA,West,Furniture,Bookcases,Bookcases Model 452,725.56,8,0.3,-36.4
ORD-100035,09-07-2021,11-07-2021,Customer 72,Corporate,Chicago,IL,South,Office Supplies,Appliances,Appliances Model 217,320.07,3,0,67.5
ORD-100036,16-08-2023,19-08-2023,Customer 227,Home Office,Los Angeles,NY,East,Technology,Phones,Phones Model 489,824.06,3,0.1,110.14
ORD-100037,18-11-2022,22-11-2022,Customer 86,Corporate,San Jose,TX,West,Technology,Accessories,Accessories Model 637,328.15,5,0.15,37.34
ORD-100038,16-08-2023,19-08-2023,Customer 85,Corporate,New York,TX,Central,Furniture,Chairs,Chairs Model 734,867.25,7,0.1,146.57
ORD-100039,17-07-2022,18-07-2022,Customer 217,Home Office,San Jose,CA,West,Furniture,Bookcases,Bookcases Model 955,631.71,6,0.3,-27.08
ORD-100040,21-06-2024,27-06-2024,Customer 496,Consumer,New York,IL,East,Furniture,Tables,Tables Model 221,906.86,3,0.1,161.15
ORD-100041,12-04-2023,15-04-2023,Customer 258,Home Office,Chicago,NY,East,Technology,Copiers,Copiers Model 372,114.88,8,0.05,18.99
ORD-100042,29-02-2024,06-03-2024,Customer 305,Consumer,Houston,TX,East,Technology,Phones,Phones Model 422,981.82,4,0.05,193.77
ORD-100043,09-10-2022,13-10-2022,Customer 297,Home Office,New York,AZ,East,Office Supplies,Paper,Paper Model 893,600.72,9,0,150.35
ORD-100044,21-01-2021,23-01-2021,Customer 479,Corporate,Houston,IL,West,Furniture,Bookcases,Bookcases Model 288,916.24,9,0.05,183.79
ORD-100045,21-04-2023,27-04-2023,Customer 68,Home Office,Phoenix,TX,Central,Furniture,Furnishings,Furnishings Model 918,813.57,3,0.15,63.35
ORD-100046,16-06-2021,21-06-2021,Customer 235,Home Office,Los Angeles,NY,West,Technology,Phones,Phones Model 458,476.2,6,0.05,108.63
ORD-100047,21-07-2024,24-07-2024,Customer 68,Corporate,Los Angeles,CA,Central,Office Supplies,Storage,Storage Model 360,528.03,1,0,115.64
ORD-100048,23-01-2022,27-01-2022,Customer 225,Home Office,Phoenix,AZ,East,Furniture,Tables,Tables Model 861,267.71,7,0.1,37.34
ORD-100049,24-08-2022,28-08-2022,Customer 478,Home Office,Los Angeles,CA,Central,Office Supplies,Storage,Storage Model 208,944.68,2,0,288.91
ORD-100050,12-11-2021,18-11-2021,Customer 381,Home Office,Chicago,IL,Central,Technology,Phones,Phones Model 302,518.93,6,0,138.42
ORD-100051,14-01-2021,16-01-2021,Customer 368,Corporate,Houston,IL,South,Office Supplies,Paper,Paper Model 146,125.27,1,0.15,8.85
ORD-100052,30-08-2021,31-08-2021,Customer 48,Home Office,San Diego,IL,East,Furniture,Chairs,Chairs Model 172,947.15,6,0.15,121.54
ORD-100053,16-02-2023,19-02-2023,Customer 395,Consumer,Phoenix,CA,South,Technology,Machines,Machines Model 654,555.46,1,0.3,-25.16
ORD-100054,01-10-2024,05-10-2024,Customer 288,Consumer,Los Angeles,NY,West,Office Supplies,Appliances,Appliances Model 286,29.12,7,0.15,2.54
ORD-100055,19-07-2022,21-07-2022,Customer 428,Corporate,Chicago,TX,West,Office Supplies,Binders,Binders Model 881,351.78,9,0.1,58.97
ORD-100056,17-06-2023,22-06-2023,Customer 187,Consumer,Dallas,CA,West,Technology,Machines,Machines Model 810,668.66,2,0.3,-41.57
ORD-100057,25-09-2024,29-09-2024,Customer 182,Home Office,San Diego,AZ,West,Office Supplies,Binders,Binders Model 833,607.89,8,0.1,108.99
ORD-100058,02-04-2021,04-04-2021,Customer 500,Consumer,San Diego,NY,West,Technology,Accessories,Accessories Model 868,675.18,1,0.15,81.83
ORD-100059,22-10-2024,23-10-2024,Customer 401,Corporate,Houston,IL,West,Office Supplies,Storage,Storage Model 673,836.55,6,0.1,111.98
ORD-100060,14-08-2023,15-08-2023,Customer 196,Consumer,San Jose,CA,West,Office Supplies,Binders,Binders Model 240,268.95,8,0.05,60.9
